,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range,Filename
0,TIC 55659311,2810.2070807276145,0.39742401262239824,8,8,0,,EB,[8.531089 8.471084 8.538147 8.521759 8.45167 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055659311-0120-s_lc.fits
1,TIC 350479101,520.1580608540311,0.26846159760341154,9,9,0,,notEB,[9.740788 9.497262 9.83573  9.199917 9.532656],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000350479101-0120-s_lc.fits
2,TIC 350479101,252.57438220435412,0.19895270416777125,10,9,1,,EB,[10.35838825  9.78134925 10.62086215  9.76254061  9.9294766 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000350479101-0120-s_lc.fits
3,TIC 25155310,120.95570212607517,0.20684690391803826,5,3,0,,notEB,[3.952708  2.7871938 5.6007595 3.1234605 2.6073308],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025155310-0120-s_lc.fits
4,TIC 25155310,120.95570212607517,0.20684690391803826,4,1,1,,notEB,[1.9859301  0.39775037 4.40513738 1.0377508  0.40108765],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025155310-0120-s_lc.fits
5,TIC 25155310,120.95570212607517,0.20684690391803826,5,3,0,,notEB,[3.952708  2.7871938 5.6007595 3.1234605 2.6073308],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025155310-0120-s_lc.fits
6,TIC 25155310,120.95570212607517,0.20684690391803826,4,1,1,,notEB,[1.9859301  0.39775037 4.40513738 1.0377508  0.40108765],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025155310-0120-s_lc.fits
7,TIC 141809359,245.46343770903312,0.1891414183982134,11,11,0,,EB,[11.042825 10.004776 11.298915 11.030714 10.309766],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000141809359-0120-s_lc.fits
8,TIC 141809359,245.46343770903312,0.1891414183982134,11,11,0,,EB,[11.042825 10.004776 11.298915 11.030714 10.309766],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000141809359-0120-s_lc.fits
9,TIC 150431920,247.41253761949926,0.09546531130557917,9,5,0,,notEB,[1.3958828 5.9412146 9.743547  6.198058  3.4006457],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000150431920-0120-s_lc.fits
10,TIC 55384162,196.8196674770903,0.11403889063548119,13,4,0,,notEB,[ 3.2732782  2.907585  13.21861    3.168808   0.7533085],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055384162-0120-s_lc.fits
11,TIC 55384162,196.8196674770903,0.11403889063548119,13,4,0,,notEB,[ 3.2732782  2.907585  13.21861    3.168808   0.7533085],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055384162-0120-s_lc.fits
12,TIC 55384162,196.8196674770903,0.11403889063548119,13,4,0,,notEB,[ 3.2732782  2.907585  13.21861    3.168808   0.7533085],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055384162-0120-s_lc.fits
13,TIC 30313682,2925.932526074766,0.4547441893581395,4,4,0,,EB,[4.558542  4.55605   4.6221514 4.5813403 4.5682673],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000030313682-0120-s_lc.fits
14,TIC 271596290,2893.849876716417,0.5217371740899914,3,3,0,,EB,[2.1809652 3.4532607 3.4840126 3.4469771 3.434058 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000271596290-0120-s_lc.fits
15,TIC 25134376,228.07655436481437,0.12078558079400974,5,4,0,,notEB,[3.600012  4.4228997 5.504687  4.1352735 3.9469326],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025134376-0120-s_lc.fits
16,TIC 25134376,189.70229933721515,0.029565241416938344,5,4,1,,notEB,[3.44697288 4.43511762 5.73564319 4.08933322 3.86290964],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025134376-0120-s_lc.fits
17,TIC 25134376,228.07655436481437,0.12078558079400974,5,4,0,,notEB,[3.600012  4.4228997 5.504687  4.1352735 3.9469326],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025134376-0120-s_lc.fits
18,TIC 25134376,189.70229933721515,0.029565241416938344,5,4,1,,notEB,[3.44697288 4.43511762 5.73564319 4.08933322 3.86290964],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025134376-0120-s_lc.fits
19,TIC 150442264,4333.406205989015,0.6109593105674033,3,3,0,,EB,[3.770709  3.7666836 3.816879  3.8124526 3.803765 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000150442264-0120-s_lc.fits
20,TIC 25117242,102.817045040022,0.1237068022849593,5,4,0,,notEB,[4.596812  3.894915  5.380222  4.4506955 4.736909 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025117242-0120-s_lc.fits
21,TIC 25117242,82.24358961057627,0.02435302300779438,5,4,1,,notEB,[4.48299852 3.64937475 5.4134341  4.30909341 4.64536845],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025117242-0120-s_lc.fits
22,TIC 25117242,82.24358961057627,0.02435302300779438,5,0,2,,notEB,[-0.0731086   0.84169556  5.43449376 -1.93015638  0.46178674],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025117242-0120-s_lc.fits
