,TIME,PDCSAP_FLUX
0,1955.78968439168,
1,1955.7910732841572,
2,1955.7924621766197,
3,1955.7938510690813,
4,1955.7952399615285,387974.06
5,1955.7966288539756,388599.5
6,1955.7980177464083,387916.25
7,1955.799406638841,387985.7
8,1955.800795531259,387909.25
9,1955.8021844236623,387894.88
10,1955.803573316066,387880.38
11,1955.804962208455,387845.84
12,1955.8063511008431,387813.2
13,1955.8077399932167,387855.97
14,1955.8091288855912,387950.75
15,1955.8105177779512,387784.84
16,1955.8119066703111,388018.06
17,1955.8132955626563,387893.47
18,1955.8146844550015,387750.4
19,1955.8160733473323,387897.3
20,1955.8174622396486,387942.0
21,1955.8188511319654,388068.84
22,1955.8202400242824,387817.12
23,1955.821628916584,387817.94
24,1955.823017808871,387857.56
25,1955.8244067011583,387975.0
26,1955.82579559343,
27,1955.8271844857018,387823.88
28,1955.8285733779599,388084.56
29,1955.829962270218,387693.12
30,1955.8313511624758,387704.6
31,1955.8327400547048,387777.47
32,1955.834128946948,388046.8
33,1955.835517839177,388422.66
34,1955.8369067313915,388099.03
35,1955.8382956236057,387845.16
36,1955.8396845158054,388069.28
37,1955.8410734080053,387883.28
38,1955.8424623001906,387684.34
39,1955.8438511923757,387939.16
40,1955.8452400845458,387737.6
41,1955.8466289767157,387760.6
42,1955.8480178688872,387747.8
43,1955.8494067610295,387868.12
44,1955.8507956531855,387710.6
45,1955.852184545327,387791.78
46,1955.853573437454,387824.5
47,1955.8549623295812,387866.53
48,1955.856351221708,387874.16
49,1955.8577401138207,387898.1
50,1955.8591290059185,387861.5
51,1955.8605178980165,387715.88
52,1955.8619067901145,387874.06
53,1955.863295682197,387835.84
54,1955.864684574265,387836.66
55,1955.8660734663486,387980.06
56,1955.867462358403,387852.94
57,1955.8688512504716,387899.44
58,1955.8702401425114,387984.34
59,1955.8716290345656,387732.0
60,1955.8730179266054,387823.94
61,1955.8744068186306,387812.16
62,1955.8757957106557,387878.38
63,1955.8771846026816,387906.8
64,1955.8785734946928,387915.56
65,1955.879962386689,387859.34
66,1955.8813512786996,387832.4
67,1955.8827401706803,387915.94
68,1955.8841290626756,387784.6
69,1955.8855179546426,387758.75
70,1955.8869068466242,387910.2
71,1955.888295738591,387787.25
72,1955.8896846305433,388227.75
73,1955.8910735225104,387831.72
74,1955.8924624144483,387915.88
75,1955.8938513064006,387813.38
76,1955.895240198324,387795.16
77,1955.8966290902617,387943.22
78,1955.8980179821851,387862.16
79,1955.899406874094,387783.53
80,1955.9007957660172,387916.66
81,1955.9021846579108,388113.2
82,1955.9035735498187,387895.88
83,1955.904962441713,387821.56
84,1955.9063513335932,387968.94
85,1955.9077402254736,387799.6
86,1955.9091291173531,387946.5
87,1955.9105180092183,387801.22
88,1955.9119069010835,387909.56
89,1955.9132957929485,387879.47
90,1955.9146846847989,387977.66
91,1955.916073576635,388034.7
92,1955.9174624684856,387927.94
93,1955.9188513603071,387867.47
94,1955.920240252143,387860.22
95,1955.9216291439639,387910.47
96,1955.9230180357845,387789.44
97,1955.9244069275915,387792.03
98,1955.9257958193982,387842.47
99,1955.9271847111904,387879.84
100,1955.9285736029974,387901.5
101,1955.9299624947753,387829.88
102,1955.9313513865677,387785.72
103,1955.9327402783454,387796.12
104,1955.9341291701094,387840.2
105,1955.9355180618877,388277.34
106,1955.936906953651,387858.75
107,1955.9382958453996,387801.47
108,1955.9396847371481,388024.53
109,1955.9410736288962,387934.25
110,1955.9424625206298,387871.1
111,1955.943851412364,387859.94
112,1955.945240304098,387866.06
113,1955.9466291958174,387916.66
114,1955.948018087537,387882.38
115,1955.9494069792568,387822.97
116,1955.9507958709617,387771.94
117,1955.9521847626665,387805.1
118,1955.9535736543571,387906.9
119,1955.9549625460477,388019.4
120,1955.9563514377382,387920.0
121,1955.9577403294286,387870.6
122,1955.959129221104,387960.8
123,1955.960518112779,388006.66
124,1955.9619070044405,387893.4
125,1955.9632958961024,387919.53
126,1955.9646847877643,387921.7
127,1955.9660736794112,387964.7
128,1955.9674625710581,387869.1
129,1955.968851462705,387894.56
130,1955.9702403543372,387807.25
131,1955.9716292459693,387876.7
132,1955.9730181376017,388271.22
133,1955.9744070292195,387995.38
134,1955.975795920837,387968.72
135,1955.9771848124547,387909.5
136,1955.9785737040572,387924.53
137,1955.9799625956744,387922.53
138,1955.981351487263,387855.72
139,1955.982740378866,388251.44
140,1955.9841292704546,388047.78
141,1955.9855181620433,387869.94
142,1955.9869070536174,387962.97
143,1955.9882959451913,388189.66
144,1955.9896848367653,387796.44
145,1955.9910737283249,387717.5
146,1955.9924626198997,387876.7
147,1955.99385151146,387851.25
148,1955.9952404030048,387838.84
149,1955.9966292945496,387878.88
150,1955.998018186094,387886.03
151,1955.9994070776384,387780.06
152,1956.0007959691686,387909.22
153,1956.002184860699,387999.28
154,1956.0035737522294,387845.66
155,1956.0049626437599,387907.0
156,1956.0063515352758,387855.34
157,1956.0077404267915,387940.4
158,1956.0091293182927,387856.7
159,1956.010518209794,387772.78
160,1956.0119071012955,387866.53
161,1956.0132959927967,387927.34
162,1956.014684884298,388569.2
163,1956.0160737757842,387807.2
164,1956.0174626672556,387773.4
165,1956.0188515587424,387870.16
166,1956.0202404502152,387911.78
167,1956.021629341688,387856.34
168,1956.0230182331602,387808.72
169,1956.024407124618,387840.56
170,1956.02579601609,388045.16
171,1956.0271849075332,387828.75
172,1956.0285737989907,388153.44
173,1956.0299626904339,387831.06
174,1956.031351581877,387862.1
175,1956.03274047332,387808.88
176,1956.034129364763,387912.03
177,1956.035518256191,387860.2
