Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range,Filename
TIC 350479101,107.62991534140338,0.05979620741512926,11,10,1,,EB,[ 9.51217391  9.99894954 11.89267779  9.54697299 10.79844662],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000350479101-0131-s_lc.fits
TIC 350479101,409.95353944196063,0.16843311907869046,7,7,0,,notEB,[7.789413  7.5724297 7.8290253 7.4364915 7.8107758],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000350479101-0136-s_lc.fits
TIC 350479101,497.4762073116391,0.1617192519215933,7,7,1,,notEB,[7.68360088 7.46610262 7.7221372  7.32984213 7.7038443 ],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000350479101-0136-s_lc.fits
TIC 350479101,248.08178638878707,0.11086542708900908,8,8,2,,EB,[8.47193602 8.04026833 8.54841887 7.76983281 8.51211304],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000350479101-0136-s_lc.fits
TIC 350479101,470.51477696667337,0.14457912277396345,8,8,0,,notEB,[8.2449   8.413096 8.544175 8.34161  8.338946],/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000350479101-0139-s_lc.fits
TIC 350479101,142.48502134220448,0.06907055513002983,10,9,1,,EB,[ 9.51047812 10.00747185 10.39478943  9.79624215  9.78837207],/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000350479101-0139-s_lc.fits
TIC 350479101,521.9859875802067,0.15408806232340533,9,9,0,,notEB,[9.196592 8.893294 9.222315 8.907638 9.108618],/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000350479101-0140-s_lc.fits
TIC 350479101,180.52715204415887,0.09676159103012998,10,10,1,,EB,[10.38465616  9.72239909 10.4408233   9.75371824 10.19256328],/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000350479101-0140-s_lc.fits
TIC 350479101,557.4459980299895,0.18343258692802453,9,8,0,,notEB,[9.074178 8.819697 9.371239 8.834277 8.628663],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000350479101-0143-s_lc.fits
TIC 350479101,222.0894685849935,0.09732358368224517,10,10,1,,EB,[10.38752914 10.26308608 10.91948762 10.27694186 10.75072548],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000350479101-0143-s_lc.fits
TIC 350479101,458.7245941200186,0.3286713731456034,8,8,0,,notEB,[8.156062 8.050903 8.445655 8.14428  8.121348],/astro/store/epyc2/projects2/tess/sector013/tess2019169103026-s0013-0000000350479101-0146-s_lc.fits
