,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range,Filename
2123,TIC 199688472,233.81129045260008,0.1523000297158457,6,5,1,,notEB,[5.33983506 4.75422406 6.16160588 4.50552455 4.82323064],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000199688472-0177-s_lc.fits
2124,TIC 199688472,163.723722155814,0.10095200615678324,7,6,2,,EB,[6.59193904 6.52325942 7.80464491 5.22231793 6.95969871],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000199688472-0177-s_lc.fits
2125,TIC 229914020,270.7611343642697,0.3049651049089862,4,3,0,,notEB,[3.5096536 3.6242402 4.067802  3.6250281 3.7977157],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000229914020-0177-s_lc.fits
2126,TIC 356015357,3646.50782908292,0.2587821526586351,9,9,0,,EB,[9.7637415 9.783845  9.866825  9.755486  9.701196 ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000356015357-0177-s_lc.fits
2127,TIC 229944718,448.8782845733675,0.10864388801597492,3,3,0,,notEB,[3.2541542 3.2688305 3.36678   3.1789455 3.3191886],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000229944718-0177-s_lc.fits
2128,TIC 229944718,187.76476136481608,0.07835800857599884,4,4,1,,notEB,[4.27714782 4.36167593 4.88123919 4.47010931 4.84314229],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000229944718-0177-s_lc.fits
2129,TIC 359675849,2852.2208013012078,0.5296228404964366,4,4,0,,EB,[4.1497555 4.106049  4.1829247 4.1594615 4.164578 ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000359675849-0177-s_lc.fits
2130,TIC 258829052,3546.032215814196,0.2282824081959491,8,8,0,,EB,[8.749201 8.632573 8.522388],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000258829052-0177-s_lc.fits
2131,TIC 199688409,1709.060438445699,0.3551397074038359,3,3,0,,EB,[3.2458804 3.2691789 3.3529615 3.266927  3.1366262],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000199688409-0177-s_lc.fits
2132,TIC 160472514,6618.934305888869,0.4976945066407814,3,3,0,,EB,[3.1864588 3.2000651 3.2114136 3.194969  3.1888535],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000160472514-0177-s_lc.fits
2133,TIC 219777482,175.24761527430113,0.3077323792098491,5,5,0,,notEB,[5.28774   5.046656  5.566506  4.9115496 4.3204284],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000219777482-0177-s_lc.fits
2134,TIC 219777482,87.48234663962137,0.07414179481125523,7,6,1,,notEB,[5.47816773 7.16578431 7.20357927 6.61775744 5.35736739],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000219777482-0177-s_lc.fits
2135,TIC 219777482,139.24891999008818,0.054711666292687325,7,6,2,,EB,[5.189823   7.07915571 7.12146819 6.46562471 5.05458374],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000219777482-0177-s_lc.fits
2136,TIC 420129036,2201.2121418844526,0.13997020412970906,4,4,0,,EB,[4.5681167 4.4829354 4.6167345 4.582804  4.59084  ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000420129036-0177-s_lc.fits
2137,TIC 356820646,3278.1042821400206,0.310400053128624,3,3,0,,EB,[3.0350008 3.0734425 3.0939806 3.0238373 2.983499 ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000356820646-0177-s_lc.fits
2138,TIC 160585813,273.72867017782687,0.3616578634016487,5,5,0,,notEB,[5.204707  4.7346296 5.432884  5.139387  5.380756 ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000160585813-0177-s_lc.fits
2139,TIC 160585813,266.40952379204947,0.19772512692891572,6,5,1,,notEB,[5.81308703 5.75530108 6.17954096 5.44394025 5.7649117 ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000160585813-0177-s_lc.fits
2140,TIC 160585813,71.4431275589877,0.057778198777244175,9,8,2,,EB,[7.28721572 7.77922017 9.98639685 7.28651268 8.99748935],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000160585813-0177-s_lc.fits
2141,TIC 232621086,107.48761515739464,0.1825654714998122,10,10,0,,EB,[10.768503 10.500482 10.754377],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000232621086-0177-s_lc.fits
2142,TIC 356896561,7447.960763056432,0.3209135548865372,5,5,0,,EB,[5.131886  5.150326  5.1556325 5.1319056 5.1027527],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000356896561-0177-s_lc.fits
