Filename,Unnamed: 0,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000199716496-0152-s_lc.fits,1450,TIC 199716496,6759.39725052873,0.2284114595652875,3,3,0,,EB,[3.2272217 3.2910874 3.3415084 3.3312066 3.307964 ]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000219096494-0152-s_lc.fits,1464,TIC 219096494,113.59474242947596,0.2043163826270896,6,4,0,,notEB,[4.780386  4.4335723 6.757848  4.9096985 4.2454753]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000219777669-0152-s_lc.fits,1486,TIC 219777669,114.37214790007113,0.17634234423681525,3,3,0,,notEB,[3.234667  2.8807693 3.445988  3.0760267 2.8221023]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000219785910-0152-s_lc.fits,1434,TIC 219785910,102.68423398179695,0.3057340757433233,3,3,0,,notEB,[2.8973346 3.0213125 3.474281  2.8184872 3.3230062]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000219878176-0152-s_lc.fits,1514,TIC 219878176,384.0789267340586,0.11883725849324428,7,6,0,,notEB,[7.063551  6.5154786 6.810664 ]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000229585356-0152-s_lc.fits,1458,TIC 229585356,9195.945260674709,0.3465165500862459,3,3,0,,EB,[3.318166  3.3295043 3.382778  3.3544588 3.3581254]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000229641091-0152-s_lc.fits,1519,TIC 229641091,346.4545169839566,0.14389317472544247,6,6,0,,notEB,[6.492586  6.193783  6.1822925]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000229675893-0152-s_lc.fits,1456,TIC 229675893,191.54432988287581,0.1549556129048883,3,3,0,,notEB,[3.0042813 3.1429472 3.1828337 3.0455358 2.9066172]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000229707810-0152-s_lc.fits,1517,TIC 229707810,302.1863475578877,0.3091260496221579,3,3,0,,notEB,[3.0431669 3.0491624 3.2191086 2.8119755 2.7288702]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000229715654-0152-s_lc.fits,1518,TIC 229715654,111.57957573454132,0.2889681803508077,4,3,0,,notEB,[3.469588  3.2521927 4.5233707 4.326242  3.6011577]
