Filename,Unnamed: 0,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range
/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000272357134-0139-s_lc.fits,1406,TIC 272357134,72.91767246583844,0.05932218979544281,5,4,2,,notEB,[3.1415268  3.85088126 5.23353501 4.36650635 3.68038147]
/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000278683641-0139-s_lc.fits,1458,TIC 278683641,3194.2375632043872,0.42089731342322784,5,5,0,,EB,[5.7814574 5.7601295 5.792301  5.7698226 5.7032065]
/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000278956474-0139-s_lc.fits,1456,TIC 278956474,153.91651329075682,0.3270483975728094,6,5,0,,notEB,[5.866165  5.6104145 6.2368817 5.5362344 6.0276175]
/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000278988794-0139-s_lc.fits,1455,TIC 278988794,60.1571409209089,0.14814124120720593,8,7,0,,notEB,[7.9535656 7.427759  8.837143  7.403417  7.7595   ]
/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000279569707-0139-s_lc.fits,1468,TIC 279569707,2223.1250513813643,0.3441350359910036,6,6,0,,EB,[6.0170994 6.0069156 6.0750117 6.014788  6.004204 ]
/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000293972244-0139-s_lc.fits,1433,TIC 293972244,5286.892129252102,0.57748915568305,3,2,0,,notEB,[2.6332767 2.5048118 3.7124844 2.16466   3.1586068]
/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000294092960-0139-s_lc.fits,1399,TIC 294092960,468.1244409606552,0.3347415150759323,7,0,1,,notEB,[-0.2078279  -3.93740767  7.43525784 -2.64578152  0.16071881]
/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000294092966-0139-s_lc.fits,1418,TIC 294092966,1827.383389761936,0.3682715058923562,3,3,0,,EB,[3.5217352 3.501506  3.5937645 3.4482675 3.368097 ]
/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000300038390-0139-s_lc.fits,1512,TIC 300038390,198.0305126877156,0.18586605232860992,3,0,1,,notEB,[-1.74282087  0.0422895   3.89269548 -1.68944497  1.04771407]
/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000300241864-0139-s_lc.fits,1476,TIC 300241864,923.8870927398366,0.2569517154556141,3,2,0,,notEB,[2.401693  2.4146335 3.1209395 2.2622025 2.983772 ]
/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000300871545-0139-s_lc.fits,1530,TIC 300871545,198.27946504598413,0.2529868408672497,8,7,1,,notEB,[7.96826082 7.62252029 8.44082638 7.74785808 7.31407778]
/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000309658221-0139-s_lc.fits,1470,TIC 309658221,425.30936568593705,0.23039298824476095,7,7,0,,notEB,[7.10821   7.306341  7.538055  7.081414  7.0970287]
/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000349154435-0139-s_lc.fits,1466,TIC 349154435,120.10991812939194,0.15933411405208142,7,6,1,,notEB,[7.02357177 5.99492284 7.90186297 6.03179576 6.07975252]
/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000349832824-0139-s_lc.fits,1445,TIC 349832824,2989.473497275158,0.22517938288133849,4,4,0,,EB,[4.5051975 4.5252805 4.570513  4.545627  4.5146947]
/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000350298314-0139-s_lc.fits,1494,TIC 350298314,1575.1703922116633,0.2705781857958136,11,11,0,,EB,[11.084444 11.071498 11.161633 11.074402 11.093346]
/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000350443417-0139-s_lc.fits,1526,TIC 350443417,8017.111279744321,0.26668019492003964,4,4,0,,EB,[4.660285  4.6823745 4.6920333 4.674622  4.6345143]
/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000350479101-0139-s_lc.fits,1449,TIC 350479101,138.93174223452036,0.06585279177289054,10,9,1,,EB,[ 9.58114016 10.10156584 10.50711009  9.88035188  9.87211144]
/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000350518984-0139-s_lc.fits,1471,TIC 350518984,349.65005766457614,0.016444506337719014,16,16,0,,EB,[16.241516 16.051325 16.555408 16.087986 16.534737]
/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000358111274-0139-s_lc.fits,1491,TIC 358111274,106.20311682191307,0.05049131503108666,15,14,0,,EB,[14.518467 14.447468 15.091654 13.939498 13.879219]
/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000364302118-0139-s_lc.fits,1490,TIC 364302118,616.4533708261832,0.17529780760606378,5,4,2,,EB,[4.39249799 4.23480743 5.06162849 4.46032066 4.42078213]
/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000382517745-0139-s_lc.fits,1467,TIC 382517745,683.7097522489831,0.1714864826370912,12,12,0,,EB,[12.355765 12.3112   12.81941  12.768089 12.65212 ]
/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000425064757-0139-s_lc.fits,1507,TIC 425064757,134.32616507278186,0.021807477526443863,5,4,2,,notEB,[5.07152636 5.16877522 5.30537439 4.69442182 3.51196611]
/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000025078924-0140-s_lc.fits,1621,TIC 25078924,814.9967163246962,0.14646492706991632,5,4,2,,EB,[4.87378449 4.82233533 5.18646873 4.96428046 4.94031708]
/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000030110465-0140-s_lc.fits,1585,TIC 30110465,147.02737793654043,0.07013255245466346,8,2,1,,notEB,[-1.2260419   4.68893732  8.48426361  0.04157298  2.39596616]
/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000030313682-0140-s_lc.fits,1668,TIC 30313682,2522.522509033749,0.4690884621983475,4,4,0,,EB,[4.872888  4.74509   4.945134  4.8622694 4.883475 ]
