,Unnamed: 0,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range,Filename
2890,2890,TIC 300871545,377.2681562934673,0.2790078667567578,6,6,0,,notEB,[6.47142   6.3934298 6.9394135 5.8818607 6.4368362],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000300871545-0120-s_lc.fits
2891,2891,TIC 300871545,156.34410211223275,0.13750906699924764,7,6,1,,notEB,[6.80548178 6.65083542 7.73346025 5.63645168 6.73690617],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000300871545-0120-s_lc.fits
2892,2892,TIC 300871545,155.42801815285182,0.12537684857693732,7,6,2,,EB,[6.75371255 6.59961423 7.67375256 5.57851698 6.67507174],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000300871545-0120-s_lc.fits
2932,2932,TIC 350765991,96.24426521822666,0.13805838978418927,8,7,0,,notEB,[7.722521  7.745687  8.782654  6.8459663 6.2241735],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000350765991-0120-s_lc.fits
2933,2933,TIC 350765991,65.56757450793286,0.0712247404966868,10,9,1,,EB,[ 9.08370293  9.10889425 10.23652837  8.13050682  7.45434733],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000350765991-0120-s_lc.fits
2949,2949,TIC 350443417,9426.903555827856,0.28955339937585395,4,4,0,,EB,[4.5707674 4.5831814 4.6043835 4.575125  4.5596695],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000350443417-0120-s_lc.fits
2971,2971,TIC 350622185,99.14111947952715,0.10549232711568464,2,2,0,,notEB,[2.961019  2.9715862 2.977277  2.9607265 2.9420369],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000350622185-0120-s_lc.fits
3061,3061,TIC 32150630,680.7862181553618,0.2558019607760507,4,4,0,,notEB,[4.6870847 4.733835  4.9696712 4.738497  4.527842 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000032150630-0120-s_lc.fits
3062,3062,TIC 32150630,768.1127315037489,0.17009071240520482,6,5,1,,notEB,[5.92121835 5.97326399 6.24066591 5.97797661 5.73644768],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000032150630-0120-s_lc.fits
3063,3063,TIC 32150630,797.8218678154122,0.17349055194342708,6,5,2,,EB,[5.88027324 5.93118028 6.19449348 5.93610273 5.69852609],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000032150630-0120-s_lc.fits
3099,3099,TIC 349055915,797.8218678154122,0.17349055194342708,4,1,0,,notEB,[2.1382668  1.9704119  4.7325883  0.91179556 0.37882474],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000349055915-0120-s_lc.fits
3170,3170,TIC 149473467,11391.07957024213,0.4156824718245935,3,3,0,,EB,[3.3828533 3.4014611 3.4229205 3.404301  3.4082973],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000149473467-0120-s_lc.fits
3194,3194,TIC 177075997,11391.07957024213,0.4156824718245935,12,3,0,,notEB,[ 0.03716235  1.8985832  12.520822    3.041119    0.8225267 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000177075997-0120-s_lc.fits
3289,3289,TIC 364302118,987.6316639500733,0.4899801256229127,4,3,0,,notEB,[3.942673  3.8780873 4.134292  3.9632876 3.98432  ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000364302118-0120-s_lc.fits
3290,3290,TIC 364302118,691.3773188728835,0.2353382027091644,4,4,1,,notEB,[4.15460028 4.03496496 4.71460692 4.31002796 3.91128627],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000364302118-0120-s_lc.fits
3291,3291,TIC 364302118,593.6181798852273,0.21254258641333565,4,4,2,,EB,[4.19075922 4.06700808 4.77003178 4.35476667 3.93907447],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000364302118-0120-s_lc.fits
3355,3355,TIC 150187916,20.98714819229837,0.05532048535685435,2,2,0,,notEB,[2.3496418 2.298564  2.35337   2.2799478 2.3322432],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000150187916-0120-s_lc.fits
3393,3393,TIC 404927661,770.5205757102011,0.040453122520799856,10,10,0,,EB,[10.453325 10.529567 10.706063 10.579153 10.503776],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000404927661-0120-s_lc.fits
3422,3422,TIC 260502102,1180.6502997275074,0.27907077966968363,6,6,0,,notEB,[6.814819  6.773204  6.9468026 6.8798594 6.9389896],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000260502102-0120-s_lc.fits
3423,3423,TIC 260502102,1166.4922257048904,0.2716521554776263,6,6,1,,EB,[6.7167203  6.66039839 6.84735221 6.82240944 6.70794561],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000260502102-0120-s_lc.fits
3554,3554,TIC 25078924,1094.5544438053503,0.23149451894575634,4,3,0,,notEB,[3.8716075 3.9239943 4.1338882 3.9823925 4.0528564],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025078924-0120-s_lc.fits
3555,3555,TIC 25078924,922.7958155375284,0.16043085304803814,5,5,1,,EB,[4.80430889 5.12305863 5.14893805 4.94181317 5.12806574],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025078924-0120-s_lc.fits
3581,3581,TIC 358111274,17.599083525764858,0.13692956206610335,3,1,0,,notEB,[1.4869001 0.5426561 3.8281965 0.4655178 0.5639277],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000358111274-0120-s_lc.fits
3747,3747,TIC 350298314,32.68764841510582,0.31423299897381074,2,1,0,,notEB,[1.8600789 0.8464891 2.672014  1.006405  1.2805316],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000350298314-0120-s_lc.fits
